WORDS,FREQ
0,2.0
1,2.0
10,16.0
16,2.0
2,2.0
20,2.0
2015,4.0
2016,6.0
2017,2.0
2018,4.0
2019,2.0
2020,2.0
203,4.0
281,4.0
3,2.0
33,6.0
40,2.0
4th,2.0
5,2.0
55,2.0
5th,2.0
6,7.0
7,4.0
74,4.0
75007,2.0
75013,2.0
87,2.0
8th,4.0
<<<<<<< HEAD,0.0
=======,0.0
>>>>>>> f5d77ca6bf9ee142e8625d0da5f5140497ddd45d,0.0
ability,14.0
able,3.0
academic,11.0
acceptable,2.0
accomplishment,3.0
acedemics,1.0
acquire,2.0
across,4.0
act,4.0
activity,4.0
actor,4.0
actuarial,4.0
actuary,4.0
advance,2.0
advantage,2.0
adventure,4.0
affective,2.0
afterwards,2.0
algorithm,4.0
algorithmic,4.0
allow,10.0
already,2.0
also,26.0
always,20.0
among,4.0
analysis,4.0
analytical,4.0
anatomy,2.0
anomaly,2.0
another,4.0
answer,2.0
anything,2.0
apart,2.0
application,16.0
apply,6.0
appropriate,2.0
apps,16.0
april,2.0
argue,2.0
arm,2.0
around,2.0
art,2.0
article,4.0
artistry,4.0
ask,10.0
asset,4.0
assignment,2.0
assistant,2.0
attend,2.0
attention,9.0
attract,2.0
august,2.0
available,4.0
aware,2.0
away,2.0
bachelor,4.0
back,2.0
band,4.0
bank,30.0
barrault,2.0
base,6.0
basic,2.0
beautiful,2.0
become,6.0
beginning,2.0
behind,2.0
belief,4.0
believe,17.0
benefit,2.0
best,16.0
beyond,4.0
big,4.0
blog,4.0
body,2.0
book,4.0
bore,2.0
break,2.0
bring,4.0
broad,4.0
brush,2.0
build,4.0
bullet,2.0
burn,2.0
c,2.0
call,6.0
calmly,1.0
camille,4.0
camp,4.0
cannot,27.0
car,2.0
career,16.0
carrer,1.0
carry,2.0
case,8.0
catch,2.0
center,2.0
ch,2.0
challenge,5.0
challenging,4.0
chance,4.0
change,4.0
charge,18.0
choose,2.0
christie,2.0
city,4.0
clarification,2.0
class,20.0
classroom,8.0
client,4.0
clinical,2.0
close,2.0
closely,4.0
cloud,2.0
cluster,2.0
cnn,4.0
com,6.0
combine,10.0
come,10.0
commit,2.0
committee,2.0
companionship,2.0
company,6.0
competition,2.0
competitive,4.0
competitiveness,4.0
complete,4.0
completeness,2.0
computer,14.0
computing,2.0
conception,4.0
concise,2.0
confident,1.0
confront,2.0
consensus,4.0
consider,16.0
consistently,4.0
constant,4.0
consume,27.0
contact,6.0
contain,2.0
content,4.0
continent,4.0
convince,4.0
cope,4.0
corporate,6.0
corrolating,2.0
could,6.0
country,2.0
course,2.0
cover,26.0
covet,2.0
coveted,2.0
craft,4.0
crave,2.0
create,4.0
creation,4.0
creativity,4.0
credential,4.0
critical,2.0
crowfunding,2.0
crucial,4.0
culture,2.0
curious,2.0
current,2.0
currently,4.0
customer,2.0
customize,2.0
cut,2.0
dance,14.0
data,10.0
dauphine,4.0
day,6.0
dbldn,2.0
de,2.0
dear,12.0
decide,6.0
decine,2.0
dedicate,4.0
dedication,4.0
deep,12.0
deepen,2.0
define,4.0
degree,6.0
deja,2.0
delivering,4.0
demonstrate,6.0
derivative,8.0
description,2.0
desparately,2.0
detail,1.0
detection,2.0
deutsche,30.0
develop,8.0
developer,32.0
development,18.0
devote,2.0
different,16.0
difficulty,2.0
digital,2.0
diligently,1.0
dipl,2.0
discourage,2.0
discover,2.0
discussion,8.0
disposal,4.0
dive,4.0
diverse,4.0
diversity,4.0
division,4.0
dl,2.0
do,2.0
doctorate,2.0
document,2.0
docx,2.0
dolt,2.0
doubt,2.0
downloaded,16.0
draw,4.0
drop,2.0
duality,4.0
duty,2.0
e,8.0
eager,4.0
earlier,4.0
early,2.0
earn,27.0
economic,2.0
ecosystem,5.0
edge,4.0
effort,2.0
either,2.0
elder,2.0
else,6.0
email,4.0
embrace,4.0
embryology,2.0
emotion,4.0
employment,2.0
encounter,6.0
end,5.0
engage,4.0
engineering,6.0
enough,2.0
enter,4.0
enthusiasm,4.0
entirety,2.0
entrepreneurship,2.0
environment,8.0
equity,8.0
essential,6.0
even,16.0
ever,6.0
every,33.0
everyone,10.0
everything,4.0
example,4.0
excellence,8.0
excellent,4.0
excuse,2.0
exercise,2.0
exotic,4.0
expand,4.0
experience,39.0
explain,2.0
explore,4.0
express,4.0
extraction,4.0
f,4.0
fabien,14.0
face,2.0
facial,4.0
far,2.0
fatality,2.0
favourable,4.0
feel,11.0
feeling,8.0
felt,2.0
field,10.0
fill,2.0
finally,2.0
finance,6.0
financial,16.0
find,6.0
firm,4.0
first,16.0
fit,2.0
five,4.0
floor,4.0
focus,4.0
focusing,2.0
folloe,1.0
follow,6.0
following,2.0
fool,2.0
force,2.0
forceful,2.0
formascience,2.0
forward,4.0
france,2.0
free,4.0
french,2.0
freshman,2.0
friend,6.0
fuel,4.0
fully,2.0
fun,6.0
g,2.0
gain,4.0
game,32.0
generale,4.0
genetics,2.0
geneva,2.0
gentle,2.0
geospatial,2.0
get,16.0
girl,8.0
github,8.0
give,10.0
global,6.0
gmail,6.0
go,16.0
goal,2.0
good,4.0
goodbye,2.0
grab,2.0
grace,27.0
grade,2.0
graduate,14.0
graph,8.0
gratify,4.0
gratitude,27.0
great,3.0
group,20.0
growth,11.0
guideline,2.0
gynecology,2.0
hair,2.0
half,2.0
handle,20.0
hang,2.0
happen,2.0
happiness,54.0
happy,27.0
hard,8.0
hate,2.0
head,2.0
hear,4.0
heart,4.0
heartbreak,2.0
hec,2.0
hell,4.0
hello,33.0
help,2.0
hesitate,2.0
hide,4.0
high,6.0
highlight,2.0
highly,14.0
hiring,6.0
hold,2.0
honesty,4.0
honour,4.0
hope,4.0
hospital,2.0
http,8.0
https,2.0
humaine,2.0
humility,6.0
hundred,4.0
hybrid,2.0
idea,8.0
ignore,2.0
illustrate,4.0
impact,5.0
impart,2.0
important,6.0
importantly,2.0
impress,4.0
improve,2.0
include,6.0
increase,2.0
increasingly,2.0
incredible,2.0
indescribable,2.0
individual,4.0
individually,16.0
inexperienced,2.0
information,4.0
infrastructure,2.0
innovate,2.0
innovation,8.0
input,2.0
inside,2.0
inspire,4.0
instance,4.0
institution,4.0
instructor,4.0
insurance,4.0
intellectual,4.0
intensive,2.0
intention,2.0
interact,8.0
interest,6.0
interested,2.0
intern,4.0
internship,20.0
interpersonal,4.0
intership,2.0
interview,4.0
intimidate,2.0
intrinsic,4.0
introduce,4.0
involve,4.0
io,24.0
j,2.0
job,8.0
join,8.0
joined,2.0
journey,2.0
justification,2.0
keep,6.0
kera,2.0
key,4.0
kind,2.0
kingdom,2.0
know,16.0
knowledge,8.0
l,6.0
laboratory,2.0
land,2.0
landmark,2.0
language,2.0
large,2.0
lately,16.0
launch,2.0
lausanne,8.0
lead,8.0
leadership,4.0
learn,16.0
learning,20.0
least,4.0
leave,8.0
lecture,4.0
lederman,6.0
lesson,2.0
let,4.0
letter,22.0
letterpe,2.0
lettersummer,2.0
lettrepe,6.0
level,2.0
leverage,2.0
lie,2.0
life,6.0
light,2.0
like,21.0
lionel,4.0
list,2.0
listen,2.0
living,29.0
london,10.0
long,12.0
longer,2.0
look,10.0
loomky,4.0
loser,2.0
love,45.0
m,4.0
machine,6.0
madam,6.0
mailto,4.0
main,2.0
maintain,4.0
manager,6.0
mandatory,4.0
manner,2.0
many,8.0
market,26.0
marry,2.0
master,10.0
match,4.0
mathematical,2.0
matter,2.0
maximum,4.0
may,4.0
maybe,2.0
md,2.0
meaning,2.0
measurable,2.0
medical,8.0
medicine,2.0
meet,12.0
member,4.0
memoir,2.0
memory,2.0
message,2.0
method,2.0
methodically,1.0
microsoft,2.0
mind,4.0
mindedness,4.0
mine,2.0
minute,29.0
miss,2.0
mistake,2.0
mobile,16.0
model,2.0
modeling,2.0
mold,2.0
moment,6.0
monitor,16.0
month,8.0
motivate,2.0
move,6.0
much,6.0
multidisciplinary,2.0
multimodal,2.0
music,4.0
mutual,4.0
myblog,6.0
n,6.0
name,4.0
natural,2.0
naturally,2.0
never,14.0
new,20.0
next,2.0
night,4.0
nlp,2.0
non,2.0
nosql,2.0
nothing,4.0
number,2.0
numerous,4.0
observer,4.0
obstetrics,2.0
obtain,8.0
october,4.0
offer,4.0
office,4.0
oh,2.0
oncology,2.0
one,16.0
open,6.0
opportunity,22.0
orchestra,4.0
order,4.0
orientation,2.0
otcex,4.0
others,6.0
outcome,20.0
outlook,4.0
outside,8.0
outstanding,4.0
overall,4.0
own,27.0
p,4.0
parent,2.0
paris,14.0
paristech,6.0
part,26.0
particular,4.0
party,2.0
passion,4.0
past,2.0
path,2.0
patient,2.0
pay,1.0
peer,2.0
people,8.0
perceive,2.0
perform,4.0
performance,6.0
perrin,4.0
person,4.0
personal,2.0
perspective,4.0
phd,6.0
phone,4.0
place,2.0
plan,1.0
platform,4.0
play,2.0
please,8.0
pleasure,4.0
point,4.0
portfolio,4.0
position,10.0
positive,1.0
post,2.0
precise,4.0
preferred,2.0
prepare,5.0
present,6.0
presentation,4.0
pressure,4.0
pretend,2.0
prioritize,1.0
processing,4.0
product,6.0
productivity,2.0
profession,4.0
professional,4.0
program,4.0
programme,4.0
progress,20.0
project,64.0
prom,2.0
promising,4.0
prompt,2.0
protect,4.0
provide,6.0
public,2.0
pursue,6.0
pursuit,4.0
push,2.0
put,4.0
qualify,2.0
quality,13.0
quantitative,2.0
quantity,1.0
question,16.0
r,6.0
rain,2.0
ral,2.0
rank,8.0
raphael,6.0
rarely,2.0
reach,2.0
read,4.0
ready,3.0
real,4.0
realise,4.0
realize,2.0
really,2.0
reason,2.0
recamier,2.0
recent,4.0
recently,4.0
recipe,4.0
recognition,4.0
recommend,8.0
recruiting,2.0
recruitment,2.0
refer,2.0
reflect,1.0
regard,10.0
reinforce,4.0
reject,6.0
remain,4.0
remarkable,4.0
remember,2.0
rental,2.0
require,4.0
research,2.0
respect,2.0
respective,4.0
respond,2.0
responsibility,4.0
result,2.0
resume,2.0
retire,2.0
review,6.0
rewarding,4.0
rid,2.0
right,6.0
risk,2.0
rnns,2.0
routine,1.0
rudeness,2.0
rue,4.0
sabbatical,2.0
safety,2.0
sale,6.0
say,10.0
scenario,6.0
school,6.0
science,12.0
scientific,4.0
scientist,2.0
score,4.0
scream,2.0
second,4.0
sector,1.0
secure,2.0
see,2.0
seek,10.0
seem,6.0
selective,4.0
self,2.0
september,8.0
series,2.0
service,6.0
set,2.0
share,6.0
short,2.0
show,4.0
showcase,2.0
sick,2.0
side,4.0
since,24.0
sincerely,8.0
sir,6.0
sit,2.0
situation,2.0
six,4.0
sixth,2.0
skill,13.0
sleepless,2.0
slow,2.0
societe,4.0
someone,10.0
sometimes,2.0
song,2.0
sound,2.0
space,2.0
speak,16.0
speaker,2.0
special,2.0
specific,4.0
spiritual,27.0
spotlight,2.0
sql,2.0
stage,2.0
stand,2.0
standard,4.0
start,4.0
state,2.0
statistic,6.0
step,4.0
still,4.0
stimulating,2.0
stood,2.0
straight,2.0
strasbourg,2.0
strengthen,4.0
strict,1.0
strike,4.0
strong,4.0
strongly,2.0
student,20.0
study,26.0
stunning,2.0
suggestion,2.0
suicide,2.0
summary,4.0
summer,12.0
suppose,2.0
sure,2.0
surprise,2.0
svm,2.0
swelling,2.0
switzerland,2.0
synergy,4.0
synonymous,2.0
system,2.0
tackle,3.0
take,28.0
talented,4.0
talk,4.0
task,3.0
taste,4.0
teach,8.0
team,44.0
technical,4.0
technicality,4.0
technique,2.0
technology,2.0
telecom,9.0
tell,2.0
tensorflow,2.0
term,4.0
text,6.0
thank,4.0
thanks,4.0
theory,2.0
therefore,8.0
thing,2.0
think,22.0
thinking,2.0
third,4.0
though,2.0
thought,6.0
thouly,4.0
threaten,2.0
three,6.0
thrill,4.0
throat,2.0
throughout,4.0
thus,6.0
time,42.0
tire,2.0
tomorrow,1.0
tonia,4.0
tool,2.0
top,16.0
topic,6.0
trade,4.0
trading,12.0
transaction,4.0
travel,31.0
true,4.0
truly,2.0
truth,2.0
try,10.0
twice,2.0
type,2.0
u,6.0
unanswered,2.0
uncle,2.0
unfamiliar,4.0
united,2.0
university,14.0
upon,2.0
use,12.0
ut,2.0
utmost,4.0
v,2.0
valuable,4.0
value,12.0
vast,2.0
vaudoise,4.0
veamly,2.0
vehement,2.0
video,2.0
violin,4.0
vision,10.0
visit,4.0
visually,2.0
vivadata,2.0
void,2.0
vu,2.0
wake,5.0
wanago,2.0
want,10.0
way,18.0
weak,2.0
welcome,2.0
well,10.0
whether,4.0
willing,4.0
wish,1.0
within,2.0
without,2.0
woman,2.0
word,4.0
work,80.0
working,2.0
worn,27.0
would,20.0
write,4.0
wrong,2.0
yeah,2.0
year,14.0
yet,4.0
york,4.0
young,6.0
